id,attack_type,attack_category,label,intent_drift_score,scope_violation_score,injection_signature_score,mandate_amount_limit,actual_amount,mandate_merchant_category,actual_merchant_category,mandate_recipient_known,actual_recipient_known,amount_ratio,category_match,recipient_mismatch
trace_0000_clean,clean,clean,0,0.0806426593642883,0.0,0.0,5000,4110.360147088331,footwear,footwear,True,True,0.8220720294176662,1,0
trace_0001_clean,clean,clean,0,0.09156960794641596,0.0,0.0,800,679.0615026729238,grocery,grocery,True,True,0.8488268783411548,1,0
trace_0002_clean,clean,clean,0,0.06626264338548479,0.0,0.0,4000,3287.2946925297974,travel,travel,True,True,0.8218236731324493,1,0
trace_0003_clean,clean,clean,0,0.03923191290159633,0.0,0.0,5000,4735.335116653609,footwear,footwear,True,True,0.9470670233307217,1,0
trace_0004_clean,clean,clean,0,0.06961473405418168,0.0,0.0,239,177.43460997013815,telecom,telecom,True,True,0.7424042258164776,1,0
trace_0005_clean,clean,clean,0,0.11082995600549445,0.0,0.0,5000,4704.5993878048885,footwear,footwear,True,True,0.9409198775609777,1,0
trace_0006_clean,clean,clean,0,0.10996865711998656,0.0,0.0,5000,3730.6445713016633,footwear,footwear,True,True,0.7461289142603327,1,0
trace_0007_clean,clean,clean,0,0.05303242472317425,0.0,0.0,1500,1259.7223657985865,electronics_accessories,electronics_accessories,True,True,0.839814910532391,1,0
trace_0008_clean,clean,clean,0,0.09313983329368386,0.0,0.0,239,195.96521076690445,telecom,telecom,True,True,0.8199381203636169,1,0
trace_0009_clean,clean,clean,0,0.07136715508673475,0.0,0.0,239,196.9369892583931,telecom,telecom,True,True,0.8240041391564565,1,0
trace_0010_clean,clean,clean,0,0.05729997916046248,0.0,0.0,1500,1156.946185453956,electronics_accessories,electronics_accessories,True,True,0.7712974569693041,1,0
trace_0011_clean,clean,clean,0,0.07197827254987435,0.0,0.0,4000,3649.3876461570485,travel,travel,True,True,0.9123469115392622,1,0
trace_0012_clean,clean,clean,0,0.03290565739991069,0.0,0.0,5000,4105.544819984953,footwear,footwear,True,True,0.8211089639969906,1,0
trace_0013_clean,clean,clean,0,0.05051866583739842,0.0,0.0,5000,3817.4722539337904,footwear,footwear,True,True,0.763494450786758,1,0
trace_0014_clean,clean,clean,0,0.11931215234847846,0.0,0.0,1500,1444.5113324130284,electronics_accessories,electronics_accessories,True,True,0.963007554942019,1,0
trace_0015_clean,clean,clean,0,0.03446945398842606,0.0,0.0,600,593.0022821241031,food,food,True,True,0.9883371368735051,1,0
trace_0016_clean,clean,clean,0,0.05458841087955535,0.0,0.0,239,201.33386215901885,telecom,telecom,True,True,0.8424010968996605,1,0
trace_0017_clean,clean,clean,0,0.05314856732476944,0.0,0.0,600,474.6020111186905,food,food,True,True,0.7910033518644841,1,0
trace_0018_clean,clean,clean,0,0.08863992754388512,0.0,0.0,600,452.81880013559197,food,food,True,True,0.7546980002259867,1,0
trace_0019_clean,clean,clean,0,0.09742222628101455,0.0,0.0,600,538.3882793210524,food,food,True,True,0.8973137988684208,1,0
trace_0020_clean,clean,clean,0,0.047411022400338836,0.0,0.0,800,789.1381131611319,grocery,grocery,True,True,0.9864226414514148,1,0
trace_0021_clean,clean,clean,0,0.04133737282402882,0.0,0.0,4000,3556.8911448989757,travel,travel,True,True,0.8892227862247439,1,0
trace_0022_clean,clean,clean,0,0.11061040323918582,0.0,0.0,800,790.3611832371075,grocery,grocery,True,True,0.9879514790463844,1,0
trace_0023_clean,clean,clean,0,0.032953778489373343,0.0,0.0,239,201.25220481967114,telecom,telecom,True,True,0.8420594343919294,1,0
trace_0024_clean,clean,clean,0,0.1037360141309,0.0,0.0,1500,1055.928212525863,electronics_accessories,electronics_accessories,True,True,0.7039521416839087,1,0
trace_0025_clean,clean,clean,0,0.033253096338027734,0.0,0.0,600,571.8079749072808,food,food,True,True,0.9530132915121347,1,0
trace_0026_clean,clean,clean,0,0.11645222003650534,0.0,0.0,5000,3791.5596183608927,footwear,footwear,True,True,0.7583119236721786,1,0
trace_0027_clean,clean,clean,0,0.0360928746839178,0.0,0.0,600,553.2615817180446,food,food,True,True,0.9221026361967409,1,0
trace_0028_clean,clean,clean,0,0.023033139468282997,0.0,0.0,239,228.6728080219845,telecom,telecom,True,True,0.9567899917237845,1,0
trace_0029_clean,clean,clean,0,0.08328167989798821,0.0,0.0,800,776.8752991981216,grocery,grocery,True,True,0.971094123997652,1,0
trace_0030_clean,clean,clean,0,0.044550261983889075,0.0,0.0,1500,1432.2009931071975,electronics_accessories,electronics_accessories,True,True,0.954800662071465,1,0
