id,attack_subtype,attack_category,label,coercion_intensity,urgency_density,authority_score,isolation_markers,turn_rigidity,threat_count,personal_info_used,payment_urgency,request_coherence,victim_age,victim_tech_savvy
coerce_0000,A1_digital_arrest,A1,1,0.9652358539877215,2.488004768127851,0.9600360956645166,2,0.7719585924538466,5,3,1,0.9063920201583643,73,high
coerce_0001,A1_digital_arrest,A1,1,0.8991599421247856,2.244086821727926,0.9203518379890263,3,0.831111677417158,4,2,1,0.9063620603484016,50,medium
coerce_0002,A1_trai_scam,A1,1,0.807035376855838,2.31062523522475,0.7232893919336801,3,0.7780029635605499,3,1,1,0.765953522779803,62,low
coerce_0003,A2_bec,A2,1,0.79227352589656,1.6715016533510678,0.6718293159609416,2,0.7412923674221339,1,0,1,0.9706366305797993,61,high
coerce_0004,A2_insurance,A2,1,0.8570823800435231,1.4780754950846153,0.6090205816742771,2,0.7246391769030198,0,3,1,0.8443026271172562,32,high
coerce_0005,A3_romance,A3,1,0.658775939215438,1.3951778363474103,0.4594603336962754,3,0.6717261707322079,1,2,1,0.611608066153336,66,medium
coerce_0006,A3_investment,A3,1,0.7909344298364507,1.7614286333844569,0.5178876439019746,3,0.6827031627795557,0,2,1,0.781564411291927,63,medium
coerce_0007,A1_digital_arrest,A1,1,0.9340164391821348,2.658888203712161,0.8488897721405326,4,0.8389943099509326,3,2,1,0.8567084442153379,56,medium
coerce_0008,A1_digital_arrest,A1,1,0.8158565114192098,2.3995344910042675,0.8630202452084004,2,0.8284490631917143,3,3,1,0.8325637463875781,38,medium
coerce_0009,A1_trai_scam,A1,1,0.8928987940628577,2.1426087025355156,0.6979450941329663,2,0.7346685114398608,3,1,1,0.8248580372026882,70,low
coerce_0010,A2_bec,A2,1,0.8345242677033885,1.6718242060990398,0.7126831752861371,2,0.7076261384111905,1,1,1,0.9169037029466673,65,medium
coerce_0011,A2_insurance,A2,1,0.7309131053000836,1.241248106323288,0.6889577984628465,0,0.681223906391891,1,2,1,0.8740373329452954,48,high
coerce_0012,A3_romance,A3,1,0.7332692554486393,1.1704543546471728,0.3661361350364677,4,0.6,0,2,1,0.5338650193822798,26,medium
coerce_0013,A3_investment,A3,1,0.7999887113361719,1.2283562833919817,0.4697469956768488,3,0.7319691319114426,0,2,1,0.7868757784233543,63,medium
coerce_0014,A1_digital_arrest,A1,1,0.9397281221066185,2.5149933835268254,0.8728773539279551,2,0.780907183072306,4,4,1,0.911886780116614,38,medium
coerce_0015,A1_digital_arrest,A1,1,0.8276971072805773,2.521638852314161,0.8076405832748957,1,0.8093070484541882,2,2,1,0.9300889445660457,27,medium
coerce_0016,A1_trai_scam,A1,1,0.7988251253689067,2.253782690486895,0.8175997347177413,1,0.8134044498365831,2,2,1,0.8731651445609782,29,low
coerce_0017,A2_bec,A2,1,0.7680124233625126,1.5220272175783425,0.6688152157475385,1,0.6649325540977477,1,1,1,0.9388888651450613,30,high
coerce_0018,A2_insurance,A2,1,0.6992210459396229,1.6940541542350587,0.7170501254315506,0,0.8165544986402932,0,2,1,0.8005230939984067,71,medium
coerce_0019,A3_romance,A3,1,0.7133855731171918,0.9561176714069022,0.36677141918562517,3,0.6255161280376077,0,0,1,0.6532990115393822,22,high
coerce_0020,A3_investment,A3,1,0.7720682581480656,1.1893038741522566,0.3660253644236514,2,0.6778486979672672,2,2,1,0.7565137260736443,60,low
coerce_0021,A1_digital_arrest,A1,1,0.9250352200730424,2.4445168700748923,0.8227906590214102,2,0.8209909574185699,4,3,1,0.8589306660387808,46,high
coerce_0022,A1_digital_arrest,A1,1,0.8548536410956487,2.779471903862273,0.880796077288469,2,0.7983694989545826,3,3,1,0.872303610074104,71,medium
coerce_0023,A1_trai_scam,A1,1,0.7887197118116376,1.8166187277041144,0.8138070334177696,1,0.8431636502564175,3,3,1,0.7940680836945059,28,medium
coerce_0024,A2_bec,A2,1,0.8653000870853413,1.865814750409157,0.667125821533301,1,0.7371502575384645,1,2,1,0.9591617218610953,61,low
coerce_0025,A2_insurance,A2,1,0.6815920400377168,2.095278379669375,0.7878932576626638,2,0.692819231468696,1,1,1,0.9230722146121101,60,high
coerce_0026,A3_romance,A3,1,0.7702690912572315,0.9315818943132521,0.4514661435751236,2,0.6497951253311972,1,1,1,0.6168787274399467,29,low
